id,ticker,stock_name,alpha_score,tech_score,ml_prob,whale_score,fund_status,trend,market_type,created_at,tier,volume,context,surge,win_rate,position,strategy,decision_score,run_id,priority_rank,decision,decision_bucket,outcome_status,recommended_at,outcome_recorded_at,horizon,base_trade_date,entry_reference_price,latest_return_pct,return_1d_pct,return_2d_pct,return_3d_pct,return_5d_pct,source_ref,scan_mode,return_30m_pct,return_1h_pct,return_close_pct,strategy_family,return_7d_pct,market,quality_flags,validation_excluded,phase25_variant,phase25_shadow_variant,phase25_shadow_prob,phase25_recommended_threshold,primary_theme,theme_source,theme_inference_status,secondary_themes,theme_routing_path,expected_edge_score,expected_return_1d_pct,expected_return_3d_pct,selection_lane,target_horizon_days,price_band,is_sub7,max_return_observed_pct,label_win_close,label_win_1d,label_win_3d,label_hit_5pct,label_hit_10pct,label_hit_20pct,label_hit_50pct,label_hit_100pct
23007,000660.KS,SK하이닉스,100.0,,27.0,,,UP,KR,2026-04-10T02:59:16.382696+00:00,,,,,,,planner_handoff.watchlist_meta#000660.KS,119.0,RUN-2047FD2D,2.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:59:16.382696+00:00,,T+3D,,1033000.0,,,,,,planner_handoff.watchlist_meta#000660.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,반도체,stock_master,inferred,['통신/네트워크'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
23008,005930.KS,삼성전자,79.0,,19.0,,,UP,KR,2026-04-10T02:59:16.382696+00:00,,,,,,,planner_handoff.watchlist_meta#005930.KS,113.0,RUN-2047FD2D,3.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:59:16.382696+00:00,,T+3D,,208250.0,,,,,,planner_handoff.watchlist_meta#005930.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,반도체,stock_master,inferred,['통신/네트워크'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
23009,402340.KS,SK스퀘어,100.0,,21.0,,,NEUTRAL,KR,2026-04-10T02:59:16.382696+00:00,,,,,,,planner_handoff.watchlist_meta#402340.KS,107.0,RUN-2047FD2D,4.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:59:16.382696+00:00,,T+3D,,580000.0,,,,,,planner_handoff.watchlist_meta#402340.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,금융,stock_master,inferred,[],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
23011,005380.KS,현대차,90.0,,16.0,,,DOWN,KR,2026-04-10T02:59:16.382696+00:00,,,,,,,planner_handoff.watchlist_meta#005380.KS,86.0,RUN-2047FD2D,6.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:59:16.382696+00:00,,T+3D,,490500.0,,,,,,planner_handoff.watchlist_meta#005380.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,자동차,stock_master,inferred,[],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22993,000660.KS,SK하이닉스,100.0,,27.0,,,UP,KR,2026-04-10T02:55:15.840136+00:00,,,,,,,planner_handoff.watchlist_meta#000660.KS,119.0,RUN-89FF3E93,2.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:55:15.840136+00:00,,T+3D,2026-04-10,1027000.0,0.0,,,,,planner_handoff.watchlist_meta#000660.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,반도체,stock_master,inferred,['통신/네트워크'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22995,005930.KS,삼성전자,100.0,,27.0,,,UP,KR,2026-04-10T02:55:15.840136+00:00,,,,,,,planner_handoff.watchlist_meta#005930.KS,119.0,RUN-89FF3E93,3.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:55:15.840136+00:00,,T+3D,2026-04-10,206000.0,0.0,,,,,planner_handoff.watchlist_meta#005930.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,반도체,stock_master,inferred,['통신/네트워크'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22997,402340.KS,SK스퀘어,100.0,,22.0,,,NEUTRAL,KR,2026-04-10T02:55:15.840136+00:00,,,,,,,planner_handoff.watchlist_meta#402340.KS,107.0,RUN-89FF3E93,4.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:55:15.840136+00:00,,T+3D,2026-04-10,568000.0,0.0,,,,,planner_handoff.watchlist_meta#402340.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,금융,stock_master,inferred,[],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22999,005380.KS,현대차,89.0,,16.0,,,DOWN,KR,2026-04-10T02:55:15.840136+00:00,,,,,,,planner_handoff.watchlist_meta#005380.KS,86.0,RUN-89FF3E93,6.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:55:15.840136+00:00,,T+3D,2026-04-10,489500.0,0.0,,,,,planner_handoff.watchlist_meta#005380.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,자동차,stock_master,inferred,[],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
24295,012450.KS,한화에어로스페이스,,,21.0,,,UP,KR,2026-04-10T02:55:15.840136+00:00,,,,,,,planner_handoff.json#012450.KS,77.4,RUN-89FF3E93,1.0,OBSERVE,watchlist,PENDING,2026-04-10T02:55:15.840136+00:00,,T+3D,2026-04-10,1507000.0,0.0,,,,,planner_handoff.json#012450.KS,SWING,,,,KR_CORE,,KOSPI,,,phase25_kr_swing_xgboost,phase25_kr_swing_lightgbm,56.0,25.0,방산,stock_master,rule_inferred,[],core_only,-12.95,-1.1,-1.7,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
24296,034020.KS,두산에너빌리티,92.0,,18.0,,,UP,KR,2026-04-10T02:55:15.840136+00:00,,,,,,,planner_handoff.watchlist_meta#034020.KS,101.0,RUN-89FF3E93,5.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:55:15.840136+00:00,,T+3D,2026-04-10,100200.0,0.0,,,,,planner_handoff.watchlist_meta#034020.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,조선/해양,stock_master,inferred,['건설/부동산'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22982,000660.KS,SK하이닉스,94.0,,27.0,,,UP,KR,2026-04-10T02:53:04.170167+00:00,,,,,,,planner_handoff.watchlist_meta#000660.KS,119.0,RUN-230C6F2D,2.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:53:04.170167+00:00,,T+3D,,1034500.0,,,,,,planner_handoff.watchlist_meta#000660.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,반도체,stock_master,inferred,['통신/네트워크'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
22983,005930.KS,삼성전자,70.0,,27.0,,,UP,KR,2026-04-10T02:53:04.170167+00:00,,,,,,,planner_handoff.watchlist_meta#005930.KS,113.0,RUN-230C6F2D,3.0,EXCEPTION_LEADER,exception_leader,PENDING,2026-04-10T02:53:04.170167+00:00,,T+3D,,209500.0,,,,,,planner_handoff.watchlist_meta#005930.KS,SWING,,,,KR_CORE,,KOSPI,,,,,,,반도체,stock_master,inferred,['통신/네트워크'],,,,,3d,3,gt_15,0,,0,0,0,0,0,0,0,0
