,Ticker,Reason,Alpha,Conviction,Prob5,Clean,Trend,Tier,Name,Market,Regime,ExceptionScore,RecommendException,ExceptionReasons,ProfilePolicy,ProfileAdjustment,ProfileConfidence,ProfileSignals,ProfileWin5D,ProfileAvg5D,ProfileRR
37,039200.KQ,KR_HARD_FILTER_FAIL,26.0,,,,UP,,오스코텍,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
40,042520.KQ,KR_HARD_FILTER_FAIL,30.0,,,,UP,,한스바이오메드,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
41,043260.KQ,KR_HARD_FILTER_FAIL,24.0,,,,UP,,성호전자,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
42,044490.KQ,KR_HARD_FILTER_FAIL,28.0,,,,UP,,태웅,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
44,046120.KQ,KR_HARD_FILTER_FAIL,35.0,,,,UP,,오르비텍,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
45,048410.KQ,KR_HARD_FILTER_FAIL,32.0,,,,UP,,현대바이오,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
55,054620.KQ,KR_HARD_FILTER_FAIL,24.0,,,,UP,,APS,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
65,062970.KQ,KR_HARD_FILTER_FAIL,27.0,,,,UP,,한국첨단소재,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
67,064760.KQ,KR_HARD_FILTER_FAIL,15.0,,,,UP,,티씨케이,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
75,074600.KQ,KR_HARD_FILTER_FAIL,14.0,,,,UP,,원익QnC,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
77,078070.KQ,KR_HARD_FILTER_FAIL,36.0,,,,UP,,유비쿼스홀딩스,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
81,080220.KQ,KR_HARD_FILTER_FAIL,26.0,,,,UP,,제주반도체,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
83,082270.KQ,KR_HARD_FILTER_FAIL,19.0,,,,UP,,젬백스,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
91,087010.KQ,KR_HARD_FILTER_FAIL,0.0,,,,UP,,펩트론,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
95,089150.KQ,KR_HARD_FILTER_FAIL,32.0,,,,UP,,케이씨티,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
97,089970.KQ,KR_HARD_FILTER_FAIL,34.0,,,,UP,,브이엠,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
109,100590.KQ,KR_HARD_FILTER_FAIL,39.0,,,,UP,,머큐리,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
112,101490.KQ,KR_HARD_FILTER_FAIL,28.0,,,,UP,,에스앤에스텍,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
115,107640.KQ,KR_HARD_FILTER_FAIL,18.0,,,,UP,,한중엔시에스,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
123,123330.KQ,KR_HARD_FILTER_FAIL,31.0,,,,UP,,제닉,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
125,126340.KQ,KR_HARD_FILTER_FAIL,24.0,,,,UP,,비나텍,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
128,129920.KQ,KR_HARD_FILTER_FAIL,24.0,,,,UP,,대성하이텍,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
139,141080.KQ,KR_HARD_FILTER_FAIL,14.0,,,,UP,,리가켐바이오,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
143,166090.KQ,KR_HARD_FILTER_FAIL,36.0,,,,UP,,하나머티리얼즈,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
146,174900.KQ,KR_HARD_FILTER_FAIL,35.0,,,,UP,,앱클론,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
149,187660.KQ,KR_HARD_FILTER_FAIL,19.0,,,,UP,,페니트리움바이오,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
150,189300.KQ,KR_HARD_FILTER_FAIL,31.0,,,,UP,,인텔리안테크,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
155,200710.KQ,KR_HARD_FILTER_FAIL,34.0,,,,UP,,에이디테크놀로지,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
163,218410.KQ,KR_HARD_FILTER_FAIL,31.0,,,,UP,,RFHIC,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
164,221800.KQ,KR_HARD_FILTER_FAIL,38.0,,,,UP,,유투바이오,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
168,226590.KQ,KR_HARD_FILTER_FAIL,31.0,,,,UP,,엠디바이스,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
174,237690.KQ,KR_HARD_FILTER_FAIL,38.0,,,,UP,,에스티팜,KOSDAQ,BEAR,8.0,N,TREND_UP,NEGATIVE,-9.8,0.602,3,0.0,-2.718832891246681,1.6
175,240810.KQ,KR_HARD_FILTER_FAIL,27.0,,,,UP,,원익IPS,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
178,242040.KQ,KR_HARD_FILTER_FAIL,33.0,,,,UP,,나무기술,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
183,253590.KQ,KR_HARD_FILTER_FAIL,27.0,,,,UP,,네오셈,KOSDAQ,BEAR,8.0,N,TREND_UP,NEGATIVE,-11.0,0.602,3,0.0,-5.035545023696686,1.6
187,264450.KQ,KR_HARD_FILTER_FAIL,39.0,,,,UP,,유비쿼스,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
199,295310.KQ,KR_HARD_FILTER_FAIL,27.0,,,,UP,,에이치브이엠,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
202,310210.KQ,KR_HARD_FILTER_FAIL,24.0,,,,UP,,보로노이,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
206,319660.KQ,KR_HARD_FILTER_FAIL,39.0,,,,UP,,피에스케이,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
209,322310.KQ,KR_HARD_FILTER_FAIL,23.0,,,,UP,,오로스테크놀로지,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
210,323280.KQ,KR_HARD_FILTER_FAIL,33.0,,,,UP,,태성,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
212,330860.KQ,KR_HARD_FILTER_FAIL,26.0,,,,UP,,네패스아크,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
223,356860.KQ,KR_HARD_FILTER_FAIL,32.0,,,,UP,,티엘비,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
224,357780.KQ,KR_HARD_FILTER_FAIL,22.0,,,,UP,,솔브레인,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
230,368770.KQ,KR_HARD_FILTER_FAIL,38.0,,,,UP,,파이버프로,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
234,382800.KQ,KR_HARD_FILTER_FAIL,31.0,,,,UP,,지앤비에스 에코,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
236,388050.KQ,KR_HARD_FILTER_FAIL,33.0,,,,UP,,지투파워,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
238,389020.KQ,KR_HARD_FILTER_FAIL,21.0,,,,UP,,자람테크놀로지,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
242,393890.KQ,KR_HARD_FILTER_FAIL,28.0,,,,UP,,더블유씨피,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
244,397030.KQ,KR_HARD_FILTER_FAIL,27.0,,,,UP,,에이프릴바이오,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
246,402490.KQ,KR_HARD_FILTER_FAIL,38.0,,,,UP,,그린리소스,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
248,403870.KQ,KR_HARD_FILTER_FAIL,29.0,,,,UP,,HPSP,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
250,417200.KQ,KR_HARD_FILTER_FAIL,32.0,,,,UP,,LS머트리얼즈,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
251,417500.KQ,KR_HARD_FILTER_FAIL,18.0,,,,UP,,제이아이테크,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
252,420770.KQ,KR_HARD_FILTER_FAIL,18.0,,,,UP,,기가비스,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
254,425420.KQ,KR_HARD_FILTER_FAIL,31.0,,,,UP,,티에프이,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
257,440110.KQ,KR_HARD_FILTER_FAIL,34.0,,,,UP,,파두,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
259,448900.KQ,KR_HARD_FILTER_FAIL,10.0,,,,UP,,한국피아이엠,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
265,458870.KQ,KR_HARD_FILTER_FAIL,30.0,,,,UP,,씨어스테크놀로지,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
271,474610.KQ,KR_HARD_FILTER_FAIL,38.0,,,,UP,,RF시스템즈,KOSDAQ,BEAR,8.0,N,TREND_UP,NEGATIVE,-12.0,0.602,3,0.0,-6.7532467532467555,1.6
274,475960.KQ,KR_HARD_FILTER_FAIL,23.0,,,,UP,,토모큐브,KOSDAQ,BEAR,8.0,N,TREND_UP,NONE,0.0,0.0,,,,
59,058470.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,21.0,40.7,40.3,23.7,,3,리노공업,KOSDAQ,BEAR,6.0,N,PROB5_35_PLUS,NONE,0.0,0.0,,,,
73,069540.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,43.0,57.2,35.6,18.9,,3,빛과전자,KOSDAQ,BEAR,6.0,N,PROB5_35_PLUS,NONE,0.0,0.0,,,,
141,160980.KQ,PRECISION_GATE_T3_LOW_ML_SUPPORT,41.0,54.9,30.7,27.6,,3,싸이맥스,KOSDAQ,BEAR,5.0,N,CLEAN_25_PLUS,NONE,0.0,0.0,,,,
2,005290.KQ,KR_HARD_FILTER_FAIL,1.0,,,,NEUTRAL,,동진쎄미켐,KOSDAQ,BEAR,2.0,N,TREND_NEUTRAL,NONE,0.0,0.0,,,,
